transaction_id,date,amount,product_id,product_name,customer_id,customer_name,customer_email,signup_date,last_purchase,total_spent
T11,2023-02-15,51.0,P2,Product 2,C001,Customer 1,customer1@example.com,2023-02-01,2023-02-15,101.5
T12,2023-02-20,50.5,P3,Product 3,C001,Customer 1,customer1@example.com,2023-02-01,2023-02-15,101.5
T21,2023-03-15,52.0,P3,Product 3,C002,Customer 2,customer2@example.com,2023-03-01,2023-03-15,103.0
T22,2023-03-20,51.0,P4,Product 4,C002,Customer 2,customer2@example.com,2023-03-01,2023-03-15,103.0
T31,2023-04-15,53.0,P4,Product 4,C003,Customer 3,customer3@example.com,2023-04-01,2023-04-15,104.5
T32,2023-04-20,51.5,P5,Product 5,C003,Customer 3,customer3@example.com,2023-04-01,2023-04-15,104.5
T41,2023-05-15,54.0,P5,Product 5,C004,Customer 4,customer4@example.com,2023-05-01,2023-05-15,2106.0
T42,2023-05-20,52.0,P6,Product 6,C004,Customer 4,customer4@example.com,2023-05-01,2023-05-15,2106.0
T51,2023-06-15,55.0,P6,Product 6,C005,Customer 5,customer5@example.com,2023-06-01,2023-06-15,107.5
T52,2023-06-20,52.5,P7,Product 7,C005,Customer 5,customer5@example.com,2023-06-01,2023-06-15,107.5
T61,2023-07-15,56.0,P7,Product 7,C006,Customer 6,customer6@example.com,2023-07-01,2023-07-15,109.0
T62,2023-07-20,53.0,P8,Product 8,C006,Customer 6,customer6@example.com,2023-07-01,2023-07-15,109.0
T71,2023-08-15,57.0,P8,Product 8,C007,Customer 7,customer7@example.com,2023-08-01,2023-08-15,110.5
T72,2023-08-20,53.5,P9,Product 9,C007,Customer 7,customer7@example.com,2023-08-01,2023-08-15,110.5
T81,2023-09-15,58.0,P9,Product 9,C008,Customer 8,customer8@example.com,2023-09-01,2023-09-15,112.0
T82,2023-09-20,54.0,P10,Product 10,C008,Customer 8,customer8@example.com,2023-09-01,2023-09-15,112.0
T91,2023-10-15,59.0,P10,Product 10,C009,Customer 9,customer9@example.com,2023-10-01,2023-10-15,113.5
T92,2023-10-20,54.5,P1,Product 1,C009,Customer 9,customer9@example.com,2023-10-01,2023-10-15,113.5
T101,2023-11-15,60.0,P1,Product 1,C010,Customer 10,customer10@example.com,2023-11-01,2023-11-15,115.0
T102,2023-11-20,55.0,P2,Product 2,C010,Customer 10,customer10@example.com,2023-11-01,2023-11-15,115.0
T111,2023-12-15,61.0,P2,Product 2,C011,Customer 11,customer11@example.com,2023-12-01,2023-12-15,116.5
T112,2023-12-20,55.5,P3,Product 3,C011,Customer 11,customer11@example.com,2023-12-01,2023-12-15,116.5
T121,2023-01-15,62.0,P3,Product 3,C012,Customer 12,customer12@example.com,2023-01-01,2023-01-15,118.0
T122,2023-01-20,56.0,P4,Product 4,C012,Customer 12,customer12@example.com,2023-01-01,2023-01-15,118.0
T131,2023-02-15,63.0,P4,Product 4,C013,Customer 13,customer13@example.com,2023-02-01,2023-02-15,119.5
T132,2023-02-20,56.5,P5,Product 5,C013,Customer 13,customer13@example.com,2023-02-01,2023-02-15,119.5
T141,2023-03-15,64.0,P5,Product 5,C014,Customer 14,customer14@example.com,2023-03-01,2023-03-15,121.0
T142,2023-03-20,57.0,P6,Product 6,C014,Customer 14,customer14@example.com,2023-03-01,2023-03-15,121.0
T151,2023-04-15,65.0,P6,Product 6,C015,Customer 15,customer15@example.com,2023-04-01,2023-04-15,122.5
T152,2023-04-20,57.5,P7,Product 7,C015,Customer 15,customer15@example.com,2023-04-01,2023-04-15,122.5
T161,2023-05-15,66.0,P7,Product 7,C016,Customer 16,customer16@example.com,2023-05-01,2023-05-15,124.0
T162,2023-05-20,58.0,P8,Product 8,C016,Customer 16,customer16@example.com,2023-05-01,2023-05-15,124.0
T171,2023-06-15,67.0,P8,Product 8,C017,Customer 17,customer17@example.com,2023-06-01,2023-06-15,125.5
T172,2023-06-20,58.5,P9,Product 9,C017,Customer 17,customer17@example.com,2023-06-01,2023-06-15,125.5
T181,2023-07-15,68.0,P9,Product 9,C018,Customer 18,customer18@example.com,2023-07-01,2023-07-15,127.0
T182,2023-07-20,59.0,P10,Product 10,C018,Customer 18,customer18@example.com,2023-07-01,2023-07-15,127.0
T191,2023-08-15,69.0,P10,Product 10,C019,Customer 19,customer19@example.com,2023-08-01,2023-08-15,128.5
